timestamp,match_score,missing_keywords
03-06-2025 18:15,42.25,"analyze, bachelor, business, collaborate, communication, complex, computer, dataset, degree, detail"
03-06-2025 18:16,13.71,"analyst, analytic, analyze, business, collaborate, communication, complex, dashboard, data, dataset"
03-06-2025 18:21,13.71,"analyst, analytic, analyze, business, collaborate, communication, complex, dashboard, data, dataset"
03-06-2025 18:23,7.37,"align, analysis, analyze, build, business, categorize, category, collaborate, communication, convert"
03-06-2025 18:32,13.71,"analyst, analytic, analyze, business, collaborate, communication, complex, dashboard, data, dataset"
2025-06-04 20:59:07,55.78,"analytic, degree, excellent, field, finding, identify, like, look, mathematics, modeling"
2025-06-04 21:01:47,63.3,"degree, field, like, look, pattern, proficiency, prove, related, requirements, responsibility"
2025-06-04 21:03:55,67.67,"prove, requirements, similar, solid, understanding"
2025-06-06 10:05:42,67.67,"prove, requirements, similar, solid, understanding"
2025-06-06 10:06:16,13.71,"analyst, analytic, analyze, business, collaborate, communication, complex, dashboard, data, dataset"
2025-06-06 11:39:15,67.67,"prove, requirements, similar, solid, understanding"
2025-06-20 07:10:48,43.1,"analyze, bachelor, business, collaborate, communication, complex, computer, dataset, degree, develop"
2025-06-20 07:16:12,42.25,"analyze, bachelor, business, collaborate, communication, complex, computer, dataset, degree, detail"
2025-06-20 07:22:57,42.25,"analyze, bachelor, business, collaborate, communication, complex, computer, dataset, degree, detail"
2025-06-20 07:23:45,13.71,"analyst, analytic, analyze, business, collaborate, communication, complex, dashboard, data, dataset"
2025-06-20 11:41:41,42.25,"analyze, bachelor, business, collaborate, communication, complex, computer, dataset, degree, detail"
2025-06-22 16:14:41,42.25,"analyze, bachelor, business, collaborate, communication, complex, computer, dataset, degree, detail"
2025-06-23 10:59:49,42.25,"analyze, bachelor, business, collaborate, communication, complex, computer, dataset, degree, detail"
2025-06-26 11:08:51,42.25,"analyze, bachelor, business, collaborate, communication, complex, computer, dataset, degree, detail"
